ID,type,v1性別,v2出生年,v3學歷,v4任教學校類型,v5任教學校地點的所在縣市,v6擔任志工的頻率,v7參與宗教活動（如祈禱、誦經、慶典或參拜儀式等）的頻率,v8練習靜坐、冥想的頻率,v9使用社群網路平台（Facebook、Line、Twitter、We-Chat、Skype等）的頻率,v10是否有意願參加本研究於寒暑假期間辦理的教師心理健康促進工作坊,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,age,aa2,aa4,aa5,aa6,aa7,aa10,aa11,A_score,B_score,C_score,dd01,dd02,dd03,dd04,dd05,dd06,dd07,dd08,dd09,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,dd21,dd22,D_score
12,1,2,58,3,1,2,1,2,1,3,1,3,2,3,3,2,3,2,2,3,2,2,2,2,2,2,3,4,3,3,4,3,2,3,2,3,3,3,2,4,3,3,3,3,3,3,3,2,4,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,50,3,2,3,2,3,3,3,38,60,25,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,28
13,1,2,68,3,1,2,2,2,2,2,2,3,2,3,2,1,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,40,3,3,4,3,3,3,3,46,60,30,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,6
14,1,1,63,2,1,2,3,3,3,2,1,4,2,3,1,1,2,1,4,4,3,2,3,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,3,4,4,4,3,3,3,4,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,45,3,4,4,3,4,2,3,51,66,35,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19
15,1,2,61,3,1,2,2,3,1,2,2,3,2,3,2,1,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,47,3,3,4,3,3,3,3,46,60,30,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,11
16,1,1,58,2,2,2,4,1,1,3,2,3,3,3,2,1,2,2,3,3,2,2,2,3,3,3,4,3,3,3,3,2,3,3,4,3,3,1,2,3,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,1,1,2,2,1,2,2,3,3,1,1,2,2,2,2,2,2,3,2,2,3,3,50,2,3,4,3,3,3,3,44,56,31,0,0,1,1,0,1,1,2,2,0,0,1,1,1,1,1,1,2,1,1,2,2,22
17,1,1,60,3,9,2,2,1,1,2,2,2,3,3,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,2,3,3,3,4,2,2,42,60,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44
18,1,2,70,3,1,2,1,1,1,3,1,3,2,3,1,1,2,1,3,3,1,1,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,3,1,1,2,2,38,3,4,4,3,4,4,4,54,69,39,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,8
19,1,2,57,2,1,2,1,2,1,1,1,3,3,3,3,2,2,2,3,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,51,2,2,3,3,3,3,2,39,62,32,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,19
20,1,1,58,3,1,2,2,2,1,3,2,3,2,3,2,2,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,4,4,4,3,3,3,3,4,3,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,4,2,2,2,3,2,2,1,50,3,3,3,2,3,3,3,41,55,33,0,0,1,1,0,1,1,1,1,0,0,1,1,1,3,1,1,1,2,1,1,0,19
21,1,2,67,2,1,3,1,1,1,4,2,3,3,4,3,2,4,1,3,4,4,2,1,1,3,3,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,2,1,2,2,1,2,4,3,3,3,3,3,2,1,2,2,2,4,2,2,2,2,41,2,2,3,1,4,1,3,38,60,24,1,0,1,1,0,1,3,2,2,2,2,2,1,0,1,1,1,3,1,1,1,1,28
22,1,1,70,2,1,3,3,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,4,2,3,3,2,2,3,2,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,2,2,3,3,2,3,3,36,62,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
23,1,2,48,2,1,3,1,1,1,1,2,3,2,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,3,2,3,60,3,2,3,2,3,3,3,43,59,30,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,2,1,2,17
24,1,2,72,2,1,3,1,2,1,2,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,36,3,3,3,3,3,2,2,43,53,30,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18
25,1,2,66,2,1,1,4,2,1,2,2,3,2,4,2,1,2,1,3,4,2,1,3,3,3,3,2,4,3,4,3,3,3,2,4,3,4,4,4,4,1,3,3,3,3,4,9,9,9,9,9,9,9,9,9,9,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,4,2,1,1,1,1,42,3,3,4,3,4,3,4,50,64, ,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,12
26,1,2,51,2,1,1,3,4,3,3,1,3,3,3,2,1,2,2,3,3,2,2,2,2,2,3,3,4,2,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,2,1,1,2,2,2,3,3,3,1,2,2,2,3,3,2,2,2,1,1,2,1,57,2,3,4,3,3,3,3,42,64,29,1,0,0,1,1,1,2,2,2,0,1,1,1,2,2,1,1,1,0,0,1,0,21
27,1,1,69,4,1,3,4,2,1,4,1,3,2,3,2,2,1,1,3,3,3,1,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,39,3,3,3,4,4,2,4,51,59,30,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,13
28,1,2,58,2,1,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,2,2,3,3,3,3,3,42,60,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,77,3,1,3,4,2,1,4,2,3,3,3,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,31,2,3,3,3,3,2,2,40,60,30,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6
30,1,2,77,2,1,3,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,2,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,31,3,3,3,3,3,3,3,44,58,27,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,15
31,1,1,76,3,2,3,2,3,1,3,2,3,2,3,2,2,2,1,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,1,1,1,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,2,32,3,3,3,3,4,3,3,46,68,32,0,0,0,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,25
32,1,2,57,2,1,3,1,1,1,2,2,3,3,4,2,1,3,1,3,3,2,2,2,2,2,3,3,3,2,3,4,3,4,3,3,4,4,2,3,3,3,3,3,3,2,3,3,2,4,3,3,2,3,3,4,3,1,1,2,2,2,3,4,3,4,2,2,2,1,1,1,1,1,2,1,1,1,4,51,2,3,4,2,4,3,3,43,61,30,0,0,1,1,1,2,3,2,3,1,1,1,0,0,0,0,0,1,0,0,0,3,20
33,1,2,77,2,2,3,2,3,1,4,1,3,3,3,3,1,2,1,4,4,3,2,2,2,1,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,2,2,3,3,2,2,4,4,4,3,2,2,3,1,2,2,2,2,2,2,2,3,31,2,2,4,3,4,2,3,41,60,30,1,1,2,2,1,1,3,3,3,2,1,1,2,0,1,1,1,1,1,1,1,2,32
34,1,2,79,2,1,3,2,2,1,3,2,2,3,2,3,1,3,2,3,3,2,2,3,2,2,2,3,3,3,3,3,3,4,3,4,2,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,4,3,3,4,1,2,2,2,2,2,2,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,29,2,2,4,2,3,3,3,38,59,31,0,1,1,1,1,1,1,2,2,1,1,1,0,0,1,1,1,0,0,0,0,1,17
35,1,1,72,2,1,3,1,1,1,4,2,3,3,4,2,4,2,1,2,3,4,3,4,4,3,2,4,4,4,4,4,4,4,3,4,3,3,1,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,4,4,4,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,36,2,3,1,3,4,1,2,41,54,39,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,12
36,1,1,54,3,2,3,1,1,1,1,1,3,3,4,2,1,3,1,2,3,1,2,3,2,3,3,4,4,3,4,4,3,3,2,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,1,1,1,1,1,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,54,2,3,4,2,4,4,3,45,73,36,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,9
37,1,2,70,3,2,3,1,1,1,3,2,3,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,3,3,3,2,3,3,3,42,52,29,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
38,1,1,69,3,1,3,1,1,1,3,2,3,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,3,3,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,39,3,3,3,2,3,3,3,42,48,25,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,18
39,1,2,71,2,1,3,1,2,1,2,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,3,2,3,2,2,2,3,3,2,2,1,1,1,2,2,2,3,3,3,3,2,2,2,4,2,2,3,4,2,2,1,4,37,2,3,3,2,3,3,3,38,54,24,0,0,0,1,1,1,2,2,2,2,1,1,1,3,1,1,2,3,1,1,0,3,29
40,1,2, ,3,3,3,2,2,1,2,2,3,2,3,2,1,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2, ,3,3,4,2,3,3,3,45,58,30,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,19
41,1,2,59,3,3,3,2,2,1,1,1,3,2,3,2,1,2,2,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,49,3,3,4,3,3,3,4,47,58,30,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,9
42,1,1,52,2,1,3,1,1,1,3,2,3,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,56,3,3,3,2,3,2,3,43,59,30,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
43,1,1,72,2,1,4,1,2,1,3,2,3,3,4,2,1,2,1,3,3,1,2,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,36,2,3,4,3,4,4,3,48,67,35,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,15
44,1,2,64,3,3,4,2,2,1,3,2,2,1,4,2,1,2,1,3,3,2,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,4,3,4,3,4,3,3,48,64,37,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
45,1,1,59,2,3,4,2,2,1,3,2,4,2,4,3,1,1,1,3,3,3,1,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,49,3,2,4,4,4,2,4,49,59,30,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,15
46,1,1,56,3,2,5,2,2,2,2,1,4,3,3,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,52,2,2,3,3,3,2,2,39,59,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,22
47,1,2,62,3,9,5,1,1,1,1,1,3,2,3,2,1,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,46,3,3,4,3,3,3,2,45,59,30,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7
48,1,2,48,3,1,7,3,2,1,2,1,3,2,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,60,3,3,3,3,3,3,3,45,58,30,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,9
49,1,2,67,2,1,7,1,2,1,4,2,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,4,2,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,41,3,3,3,3,3,2,3,43,62,32,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,11
50,1,2,65,2,1,7,3,3,2,2,2,4,2,4,2,1,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,2,4,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,1,1,1,2,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,2,1,43,3,3,4,3,3,2,2,52,65,36,0,0,0,1,0,0,1,2,1,0,1,1,1,0,1,1,1,0,0,0,1,0,12
51,1,1,68,2,1,7,3,1,1,3,2,3,3,3,2,1,2,1,4,4,2,1,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,3,3,3,1,1,2,2,1,2,2,2,3,2,2,2,3,1,2,2,2,2,1,2,2,1,40,2,3,4,3,4,3,4,49,60,31,0,0,1,1,0,1,1,1,2,1,1,1,2,0,1,1,1,1,0,1,1,0,18
52,1,1,68,3,1,7,1,1,1,3,2,3,2,3,1,2,2,2,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,40,3,4,3,3,3,3,3,48,61,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,5
53,1,2,65,3,2,8,1,1,1,3,1,3,1,4,1,1,2,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,4,4,4,3,4,4,4,56,72,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,2, ,2,1,8,1,1,1,3,1,3,3,2,3,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,1,2, ,2,2,3,2,3,3,3,38,51,27,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,0,1,20
55,1,1,59,3,2,8,2,2,1,2,2,3,2,2,3,2,3,3,3,3,3,3,2,2,2,2,4,3,2,3,3,3,3,3,2,2,4,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,1,2,3,2,1,2,2,2,3,1,1,2,3,3,3,3,2,2,1,2,1,3,49,3,2,3,2,2,2,2,35,51,24,0,1,2,1,0,1,1,1,2,0,0,1,2,2,2,2,1,1,0,1,0,2,23
